,name,temperature,symbol,weatherDescription,text,windSpeed,windGust,cardinalWindDirection,windDirection,humidity,rainfall,pressure,dayName,date,reportTime
0,Athenry,7,,N/A,,57,93,NW,315,-99,1.3,993,Saturday,2024-07-12,00:00
1,Athenry,6,,N/A,,46,102,NW,315,-99,1.7,997,Saturday,2024-07-12,01:00
2,Athenry,6,,N/A,,54,85,NW,315,-99,0.8,999,Saturday,2024-07-12,02:00
3,Athenry,7,,N/A,,52,96,NW,315,-99,0.1,1002,Saturday,2024-07-12,03:00
4,Athenry,7,,N/A,,52,89,NW,315,-99,0.0,1003,Saturday,2024-07-12,04:00
5,Athenry,7,,N/A,,46,80,NW,315,-99,0.0,1005,Saturday,2024-07-12,05:00
6,Athenry,6,,N/A,,43,81,NW,315,-99,0.0,1007,Saturday,2024-07-12,06:00
7,Athenry,6,,N/A,,41,89,NW,315,-99,0.0,1009,Saturday,2024-07-12,07:00
8,Athenry,6,,N/A,,50,78,NW,315,-99,0.0,1011,Saturday,2024-07-12,08:00
9,Athenry,6,,N/A,,44,72,NW,315,-99,0.0,1013,Saturday,2024-07-12,09:00
10,Athenry,6,,N/A,,48,80,NW,315,-99,0.1,1014,Saturday,2024-07-12,10:00
11,Athenry,8,,N/A,,39,69,NW,315,-99,0.1,1017,Saturday,2024-07-12,11:00
12,Athenry,8,,N/A,,39,74,NW,315,-99,0.0,1018,Saturday,2024-07-12,12:00
13,Athenry,8,,N/A,,39,65,NW,315,66,0.0,1019,Saturday,2024-07-12,13:00
14,Athenry,8,,N/A,,39,65,NW,315,66,0.0,1021,Saturday,2024-07-12,14:00
